"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FIN","AIREMISSION","CO2","MLN_TONNE","A","2003",71.241465,
"FIN","AIREMISSION","CO2","MLN_TONNE","A","2004",67.154133,
"FIN","AIREMISSION","CO2","MLN_TONNE","A","2005",54.918043,
"FIN","AIREMISSION","CO2","MLN_TONNE","A","2006",66.45099,
"FIN","AIREMISSION","CO2","MLN_TONNE","A","2007",64.497212,
"FIN","AIREMISSION","CO2","MLN_TONNE","A","2008",56.040308,
"FIN","AIREMISSION","CO2","MLN_TONNE","A","2009",53.795592,
"FIN","AIREMISSION","CO2","MLN_TONNE","A","2010",62.000673,
"FIN","AIREMISSION","CO2","MLN_TONNE","A","2011",54.562684,
"FIN","AIREMISSION","CO2","MLN_TONNE","A","2012",48.907929,
"FIN","AIREMISSION","CO2","MLN_TONNE","A","2013",49.706581,
"FIN","AIREMISSION","CO2","MLN_TONNE","A","2014",45.690084,
"FIN","AIREMISSION","CO2","MLN_TONNE","A","2015",42.354365,
"FIN","AIREMISSION","CO2","MLN_TONNE","A","2016",45.152969,
"FIN","AIREMISSION","CO2","MLN_TONNE","A","2017",42.401662,
"FIN","AIREMISSION","CO2","MLN_TONNE","A","2018",43.753389,
"FIN","AIREMISSION","CO2","MLN_TONNE","A","2019",41.5099755,
"FRA","AIREMISSION","CO2","MLN_TONNE","A","1995",343.648115,
"FRA","AIREMISSION","CO2","MLN_TONNE","A","1996",359.52364,
"FRA","AIREMISSION","CO2","MLN_TONNE","A","1997",351.029466,
"FRA","AIREMISSION","CO2","MLN_TONNE","A","1998",372.496344,
"FRA","AIREMISSION","CO2","MLN_TONNE","A","1999",366.61764,
"FRA","AIREMISSION","CO2","MLN_TONNE","A","2000",364.674799,
"FRA","AIREMISSION","CO2","MLN_TONNE","A","2001",368.205343,
"FRA","AIREMISSION","CO2","MLN_TONNE","A","2002",362.524159,
"FRA","AIREMISSION","CO2","MLN_TONNE","A","2003",368.282713,
"FRA","AIREMISSION","CO2","MLN_TONNE","A","2004",368.883466,
"FRA","AIREMISSION","CO2","MLN_TONNE","A","2005",371.708144,
"FRA","AIREMISSION","CO2","MLN_TONNE","A","2006",362.43398,
"FRA","AIREMISSION","CO2","MLN_TONNE","A","2007",353.57422,
"FRA","AIREMISSION","CO2","MLN_TONNE","A","2008",349.331244,
"FRA","AIREMISSION","CO2","MLN_TONNE","A","2009",336.203512,
"FRA","AIREMISSION","CO2","MLN_TONNE","A","2010",340.052059,
"FRA","AIREMISSION","CO2","MLN_TONNE","A","2011",325.46767,
"FRA","AIREMISSION","CO2","MLN_TONNE","A","2012",328.82567,
"FRA","AIREMISSION","CO2","MLN_TONNE","A","2013",329.326297,
"FRA","AIREMISSION","CO2","MLN_TONNE","A","2014",297.550653,
"FRA","AIREMISSION","CO2","MLN_TONNE","A","2015",303.916894,
"FRA","AIREMISSION","CO2","MLN_TONNE","A","2016",306.067258,
"FRA","AIREMISSION","CO2","MLN_TONNE","A","2017",309.87204,
"FRA","AIREMISSION","CO2","MLN_TONNE","A","2018",303.478088,
"FRA","AIREMISSION","CO2","MLN_TONNE","A","2019",293.2319904,
"DEU","AIREMISSION","CO2","MLN_TONNE","A","1995",856.596915,
"DEU","AIREMISSION","CO2","MLN_TONNE","A","1996",887.062102,
"DEU","AIREMISSION","CO2","MLN_TONNE","A","1997",854.919715,
